City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
325,Sisimiut,GL,66.9395,-53.6735,15.62,80,82,6.22,broken clouds
326,Hvolsvollur,IS,63.7533,-20.2243,37.76,81,100,6.2,overcast clouds
327,Tapes,BR,-30.6733,-51.3958,72.88,79,100,12.26,overcast clouds
328,Porto Santo,PT,33.072,-16.3415,68.38,77,20,4.61,few clouds
329,Kaya,BF,13.0917,-1.0844,85.23,32,53,1.19,broken clouds
330,Belyy Yar,RU,53.6039,91.3903,33.69,76,0,11.18,clear sky
331,Ternitz,AT,47.7156,16.0357,45.55,64,20,2.44,few clouds
332,Camocim,BR,-2.9022,-40.8411,80.26,74,66,14.09,broken clouds
333,El Astillero,ES,43.4009,-3.8205,62.33,63,0,2.3,clear sky
334,San Lorenzo,PY,-25.3333,-57.5333,81.54,65,75,8.05,broken clouds
335,Bonavista,CA,48.6499,-53.1147,33.75,99,100,29.42,snow
336,Goderich,CA,43.7501,-81.7165,42.91,75,100,11.5,overcast clouds
337,Nantucket,US,41.2835,-70.0995,69.94,83,0,19.57,clear sky
338,Kotido,UG,2.9806,34.1331,72.77,58,100,5.37,overcast clouds
339,Puertollano,ES,38.6871,-4.1073,58.08,66,15,2.42,few clouds
340,Cap Malheureux,MU,-19.9842,57.6142,69.48,69,0,1.01,clear sky
341,Talcahuano,CL,-36.7167,-73.1167,62.28,67,40,13.8,scattered clouds
342,Vesoul,FR,47.5833,5.8333,43.61,66,99,5.37,overcast clouds
343,Narasannapeta,IN,18.4167,84.05,71.26,76,7,6.2,clear sky
344,Puerto Del Rosario,ES,28.5004,-13.8627,73.15,73,20,6.91,few clouds
345,Bar Harbor,US,44.3876,-68.2039,66.34,84,20,14.0,few clouds
346,Kalabo,ZM,-14.97,22.6814,68.81,86,100,4.45,light rain
347,Blankenberge,BE,51.3131,3.1323,53.55,76,73,8.41,broken clouds
348,Grootfontein,NA,-19.5667,18.1167,71.17,24,9,3.44,clear sky
349,Savinskiy,RU,62.9342,40.1361,39.4,96,100,11.86,overcast clouds
